Evaluation mean precision: 0.0
Step 2 (199) @ Episode 2/5, action 2, reward -1,loss: 1.67006146908
Step 3 (200) @ Episode 2/5, action 7, reward -1,loss: 2.15245628357
Step 4 (201) @ Episode 2/5, action 8, reward 1,loss: 1.62951803207
Step 5 (202) @ Episode 2/5, action 3, reward -1,loss: 1.93659818172
Step 6 (203) @ Episode 2/5, action 2, reward -1,loss: 2.13112783432
Step 7 (204) @ Episode 2/5, action 0, reward -1,loss: 1.46400284767
Step 8 (205) @ Episode 2/5, action 7, reward -1,loss: 2.21018886566
Step 9 (206) @ Episode 2/5, action 2, reward -1,loss: 2.67709684372
Step 10 (207) @ Episode 2/5, action 9, reward -1,loss: 1.18607449532
Step 11 (208) @ Episode 2/5, action 2, reward 1,loss: 1.90189933777
Step 12 (209) @ Episode 2/5, action 0, reward -1,loss: 1.42160701752
Step 13 (210) @ Episode 2/5, action 2, reward 1,loss: 0.882937908173
Step 14 (211) @ Episode 2/5, action 6, reward -1,loss: 0.952580988407
Step 15 (212) @ Episode 2/5, action 10, reward -3,loss: 2.16627168655
Episode Reward: -10 Episode Length: 16Step 0 (213) @ Episode 3/5, action 9, reward -1,loss: 2.17868185043
Step 1 (214) @ Episode 3/5, action 0, reward -1,loss: 1.69654464722
Step 2 (215) @ Episode 3/5, action 9, reward -1,loss: 1.16095006466
Step 3 (216) @ Episode 3/5, action 1, reward -1,loss: 1.41788721085
Step 4 (217) @ Episode 3/5, action 2, reward -1,loss: 1.67530298233
Step 5 (218) @ Episode 3/5, action 6, reward -1,loss: 1.92108273506
Step 6 (219) @ Episode 3/5, action 6, reward -1,loss: 1.17209362984
Step 7 (220) @ Episode 3/5, action 6, reward -1,loss: 1.72440505028
Step 8 (221) @ Episode 3/5, action 0, reward -1,loss: 1.66977953911
Step 9 (222) @ Episode 3/5, action 6, reward -1,loss: 1.64166033268
Step 10 (223) @ Episode 3/5, action 8, reward -1,loss: 1.92634654045
Step 11 (224) @ Episode 3/5, action 8, reward -1,loss: 2.43023777008
Step 12 (225) @ Episode 3/5, action 7, reward -1,loss: 1.40312981606
Step 13 (226) @ Episode 3/5, action 0, reward -1,loss: 1.9100073576
Step 14 (227) @ Episode 3/5, action 3, reward -1,loss: 1.87276244164
Step 15 (228) @ Episode 3/5, action 0, reward -1,loss: 1.6863720417
Step 16 (229) @ Episode 3/5, action 9, reward -1,loss: 1.67448413372
Step 17 (230) @ Episode 3/5, action 10, reward -3,loss: 1.67794406414
Episode Reward: -20 Episode Length: 18Step 0 (231) @ Episode 4/5, action 7, reward 1,loss: 2.18676137924
Step 1 (232) @ Episode 4/5, action 10, reward -3,loss: 1.43947935104
Episode Reward: -2 Episode Length: 2Step 0 (233) @ Episode 5/5, action 6, reward 1,loss: 1.68250238895
Step 1 (234) @ Episode 5/5, action 0, reward -1,loss: 2.4679441452
Step 2 (235) @ Episode 5/5, action 2, reward -1,loss: 1.90624272823
Step 3 (236) @ Episode 5/5, action 3, reward -1,loss: 1.43305110931
Step 4 (237) @ Episode 5/5, action 2, reward -1,loss: 0.874602019787
Step 5 (238) @ Episode 5/5, action 6, reward 1,loss: 1.62591671944
Step 6 (239) @ Episode 5/5, action 2, reward -1,loss: 1.90758633614
Step 7 (240) @ Episode 5/5, action 3, reward -1,loss: 1.19526612759
Step 8 (241) @ Episode 5/5, action 8, reward 1,loss: 1.87768495083
Step 9 (242) @ Episode 5/5, action 2, reward -1,loss: 2.93104481697
Step 10 (243) @ Episode 5/5, action 2, reward -1,loss: 1.45598196983
Step 11 (244) @ Episode 5/5, action 2, reward -1,loss: 2.13410711288
Step 12 (245) @ Episode 5/5, action 0, reward -1,loss: 1.92894816399
Step 13 (246) @ Episode 5/5, action 6, reward 1,loss: 1.42179715633
Step 14 (247) @ Episode 5/5, action 2, reward -1,loss: 2.41091108322
Step 15 (248) @ Episode 5/5, action 2, reward -1,loss: 1.66301393509
Step 16 (249) @ Episode 5/5, action 10, reward -3,loss: 1.4363232851
Episode Reward: -11 Episode Length: 17Image104 is being loaded: T1ce.jpegStep 0 (250) @ Episode 1/5, action 1, reward 1,loss: 1.41884016991
Step 1 (251) @ Episode 1/5, action 4, reward -1,loss: 1.63671374321
Step 2 (252) @ Episode 1/5, action 7, reward -1,loss: 2.44460582733
Step 3 (253) @ Episode 1/5, action 0, reward 1,loss: 1.42727208138
Step 4 (254) @ Episode 1/5, action 0, reward -1,loss: 2.186170578
Step 5 (255) @ Episode 1/5, action 10, reward -3,loss: 1.90941905975
Episode Reward: -4 Episode Length: 6Step 0 (256) @ Episode 2/5, action 0, reward 1,loss: 1.67849183083
Step 1 (257) @ Episode 2/5, action 0, reward -1,loss: 1.4048974514
Step 2 (258) @ Episode 2/5, action 1, reward 1,loss: 1.67229962349
Step 3 (259) @ Episode 2/5, action 1, reward -1,loss: 1.66531598568
Step 4 (260) @ Episode 2/5, action 2, reward -1,loss: 1.46523034573
Step 5 (261) @ Episode 2/5, action 1, reward -1,loss: 1.37244153023
Step 6 (262) @ Episode 2/5, action 0, reward -1,loss: 1.90230453014
Step 7 (263) @ Episode 2/5, action 8, reward 1,loss: 2.65979170799
Step 8 (264) @ Episode 2/5, action 3, reward -1,loss: 1.67361807823
Step 9 (265) @ Episode 2/5, action 6, reward 1,loss: 0.859211564064
Step 10 (266) @ Episode 2/5, action 6, reward 1,loss: 1.9044418335
Step 11 (267) @ Episode 2/5, action 0, reward 1,loss: 0.939778268337
Step 12 (268) @ Episode 2/5, action 0, reward -1,loss: 2.40085029602
Step 13 (269) @ Episode 2/5, action 0, reward -1,loss: 1.93088030815
Step 14 (270) @ Episode 2/5, action 2, reward -1,loss: 1.46646094322
Step 15 (271) @ Episode 2/5, action 3, reward -1,loss: 1.91096568108
Step 16 (272) @ Episode 2/5, action 6, reward 1,loss: 1.43305873871
Step 17 (273) @ Episode 2/5, action 6, reward 1,loss: 1.43895804882
Step 18 (274) @ Episode 2/5, action 4, reward 1,loss: 1.69756793976
Step 19 (275) @ Episode 2/5, action 8, reward -1,loss: 2.15570473671
Step 20 (276) @ Episode 2/5, action 8, reward -1,loss: 1.68889117241
Step 21 (277) @ Episode 2/5, action 0, reward 1,loss: 1.63852643967
Step 22 (278) @ Episode 2/5, action 8, reward -1,loss: 1.87447369099
Step 23 (279) @ Episode 2/5, action 0, reward 1,loss: 1.66482877731
Step 24 (280) @ Episode 2/5, action 0, reward 1,loss: 1.8941924572
Step 25 (281) @ Episode 2/5, action 3, reward -1,loss: 2.17298221588
Step 26 (282) @ Episode 2/5, action 0, reward -1,loss: 1.39849448204
Step 27 (283) @ Episode 2/5, action 0, reward -1,loss: 1.19055223465
Step 28 (284) @ Episode 2/5, action 0, reward -1,loss: 2.204205513
Step 29 (285) @ Episode 2/5, action 0, reward -1,loss: 1.39545798302
Step 30 (286) @ Episode 2/5, action 0, reward -1,loss: 0.907390356064
Step 31 (287) @ Episode 2/5, action 5, reward -1,loss: 0.925383865833
Step 32 (288) @ Episode 2/5, action 6, reward -1,loss: 1.39867305756
Step 33 (289) @ Episode 2/5, action 3, reward -1,loss: 1.1736010313
Step 34 (290) @ Episode 2/5, action 1, reward 1,loss: 1.15509235859
Step 35 (291) @ Episode 2/5, action 7, reward 1,loss: 1.45496225357
Step 36 (292) @ Episode 2/5, action 2, reward -1,loss: 1.38944935799
Step 37 (293) @ Episode 2/5, action 6, reward -1,loss: 1.19110774994
Step 38 (294) @ Episode 2/5, action 6, reward 1,loss: 1.13620555401
Step 39 (295) @ Episode 2/5, action 5, reward -1,loss: 1.73597729206
Step 40 (296) @ Episode 2/5, action 6, reward 1,loss: 1.15552985668
Step 41 (297) @ Episode 2/5, action 3, reward -1,loss: 1.97249257565
Step 42 (298) @ Episode 2/5, action 3, reward -1,loss: 1.95853161812
Step 43 (299) @ Episode 2/5, action 0, reward -1,loss: 1.66670906544
Step 44 (300) @ Episode 2/5, action 0, reward -1,loss: 1.66146636009
Step 45 (301) @ Episode 2/5, action 6, reward 1,loss: 1.93988609314
Step 46 (302) @ Episode 2/5, action 6, reward 1,loss: 1.97303640842
Step 47 (303) @ Episode 2/5, action 6, reward -1,loss: 1.39881443977
Step 48 (304) @ Episode 2/5, action 6, reward -1,loss: 1.21233808994
Step 49 (305) @ Episode 2/5, action 6, reward -1,loss: 1.1546279192
Episode Reward: -14 Episode Length: 50Step 0 (306) @ Episode 3/5, action 10, reward -3,loss: 2.44783616066
Episode Reward: -3 Episode Length: 1Step 0 (307) @ Episode 4/5, action 5, reward 1,loss: 2.15089988708
Step 1 (308) @ Episode 4/5, action 10, reward -3,loss: 1.42110490799
Episode Reward: -2 Episode Length: 2Step 0 (309) @ Episode 5/5, action 0, reward 1,loss: 1.40830516815
Step 1 (310) @ Episode 5/5, action 5, reward -1,loss: 1.91353583336
Step 2 (311) @ Episode 5/5, action 0, reward -1,loss: 1.41134655476
Step 3 (312) @ Episode 5/5, action 0, reward -1,loss: 1.7042593956
Step 4 (313) @ Episode 5/5, action 6, reward 1,loss: 1.38571941853
Step 5 (314) @ Episode 5/5, action 6, reward 1,loss: 2.17496776581
Step 6 (315) @ Episode 5/5, action 7, reward -1,loss: 1.17432403564
Step 7 (316) @ Episode 5/5, action 4, reward -1,loss: 1.67462396622
Step 8 (317) @ Episode 5/5, action 1, reward -1,loss: 1.93764352798
Step 9 (318) @ Episode 5/5, action 7, reward -1,loss: 0.911441445351
Step 10 (319) @ Episode 5/5, action 0, reward -1,loss: 2.41780757904
Step 11 (320) @ Episode 5/5, action 0, reward -1,loss: 2.44271111488
Step 12 (321) @ Episode 5/5, action 0, reward -1,loss: 1.92398023605
Step 13 (322) @ Episode 5/5, action 5, reward -1,loss: 2.41467475891
Step 14 (323) @ Episode 5/5, action 5, reward -1,loss: 1.634370327
Step 15 (324) @ Episode 5/5, action 5, reward -1,loss: 1.67549312115
Step 16 (325) @ Episode 5/5, action 9, reward -1,loss: 1.17665672302
Step 17 (326) @ Episode 5/5, action 0, reward -1,loss: 1.63516998291
Step 18 (327) @ Episode 5/5, action 5, reward -1,loss: 0.923950970173
Step 19 (328) @ Episode 5/5, action 6, reward -1,loss: 1.47031545639
Step 20 (329) @ Episode 5/5, action 6, reward -1,loss: 1.40745639801
Step 21 (330) @ Episode 5/5, action 8, reward -1,loss: 1.3797750473
Step 22 (331) @ Episode 5/5, action 0, reward -1,loss: 1.18929851055
Step 23 (332) @ Episode 5/5, action 0, reward -1,loss: 1.66290199757
Step 24 (333) @ Episode 5/5, action 6, reward -1,loss: 1.917558074
Step 25 (334) @ Episode 5/5, action 6, reward -1,loss: 1.17925190926
Step 26 (335) @ Episode 5/5, action 6, reward -1,loss: 1.91012048721
Step 27 (336) @ Episode 5/5, action 2, reward -1,loss: 0.973850309849
Step 28 (337) @ Episode 5/5, action 10, reward -3,loss: 1.15592122078
Episode Reward: -25 Episode Length: 29Image105 is being loaded: T1ce.jpegStep 0 (338) @ Episode 1/5, action 0, reward 1,loss: 1.93587517738
Step 1 (339) @ Episode 1/5, action 0, reward -1,loss: 1.92301464081
