Wall time,Step,Value
1670984248.499569,18796,2.4233152866363525
1670984273.916452,19110,2.4281630516052246
1670984281.93734,19210,2.600536584854126
1670984290.232546,19320,2.2658486366271973
1670984410.294328,19378,2.196082353591919
1670984420.40944,19502,2.556917667388916
1670984423.892088,19547,2.1748456954956055
1670984429.525722,19618,2.3559916019439697
1670984511.760508,20619,3.1212894916534424
1670984514.049063,20647,3.5061604976654053
1670984528.971426,20842,3.411389112472534
1670984539.442211,20969,3.5971500873565674
1670984544.513359,21037,3.50152325630188
1670984563.56848,21268,3.73730206489563
1670984635.244758,22163,3.4276223182678223
1670984677.948266,22703,3.170032024383545
1670984824.533302,23107,3.4086828231811523
1670984858.587934,23501,3.0266788005828857
1670984936.111817,24470,2.8897571563720703
1670984955.994316,24719,3.405062198638916
1670984959.635723,24759,2.688157081604004
1670984966.047299,24829,2.903048038482666
1670984974.198336,24939,3.2815206050872803
1670984979.100056,24992,2.636523962020874
1670984988.95729,25113,2.440365791320801
1670985015.05125,25445,3.3709557056427
1670985030.709637,25650,2.619020700454712
1670985192.983213,26264,3.1882951259613037
1670985202.656881,26378,3.1748616695404053
1670985225.163861,26647,2.8674302101135254
1670985291.685382,27455,3.0621235370635986
1670985321.175855,27834,3.0314488410949707
1670985326.21999,27895,4.486531734466553
1670985338.066317,28046,2.868215799331665
1670985342.45158,28103,3.158013343811035
1670985400.892125,28795,3.9891297817230225
1670985555.458239,29311,2.836353063583374
1670985569.283104,29491,3.5652270317077637
1670985580.051169,29621,3.009321689605713
1670985581.6663,29637,3.5875744819641113
1670985584.955064,29678,2.6669223308563232
1670985597.762527,29832,3.675342321395874
1670985615.985665,30056,4.585507869720459
1670985617.658744,30081,3.8814618587493896
1670985669.183167,30704,3.3204760551452637
1670985690.160071,30960,3.3437888622283936
1670985690.700822,30968,3.458582878112793
1670985724.2924,31377,4.189576625823975
1670985726.567562,31411,5.246389389038086
1670985767.774628,31903,4.346090316772461
1670985772.228857,31954,4.57933235168457
1670985774.272237,31977,4.375322341918945
1670985777.346663,32015,4.3386549949646
1670985961.319287,32812,4.35881233215332
1670985962.199125,32825,3.9737377166748047
1670986000.16186,33280,4.156212329864502
1670986034.772607,33702,4.359182834625244
1670986043.098197,33804,3.639075517654419
1670986047.697492,33865,3.8644142150878906
1670986139.171854,34952,4.178825855255127
1670986140.739563,34968,4.237551689147949
1670986155.757906,35141,3.8550171852111816
1670986162.341136,35218,3.3606367111206055
1670986183.67167,35478,3.22940731048584
1670986189.242172,35552,3.774670124053955
1670986314.970784,35705,3.004021644592285
1670986333.163859,35914,3.270829439163208
1670986380.836383,36502,3.4716954231262207
1670986396.27332,36695,3.8202624320983887
1670986412.919305,36892,4.374910354614258
1670986421.499152,36997,4.153245449066162
1670986427.150463,37066,4.11826229095459
1670986436.453333,37183,3.6850149631500244
1670986476.517769,37675,3.458099842071533
1670986482.660618,37750,3.624877691268921
1670986535.944412,38387,3.2664759159088135
1670986536.016198,38388,3.665879964828491
1670986537.989896,38409,3.814783811569214
1670986544.401664,38488,3.137648820877075
1670986570.284313,38806,3.9985480308532715
1670986573.085217,38840,3.602693557739258
1670986718.971802,39239,3.2344167232513428
1670986749.538683,39589,3.491137742996216
1670986760.94278,39713,4.233879089355469
1670986795.220058,40111,4.84633207321167
1670986805.353475,40237,5.050000190734863
1670986806.741091,40250,4.316183567047119
1670986813.983253,40333,3.705251455307007
1670986821.249919,40417,5.1099395751953125
1670986831.290409,40541,4.62800407409668
1670986853.870942,40802,4.126861095428467
1670986865.303897,40943,4.436469078063965
1670986900.283156,41375,3.751868486404419
1670986908.503914,41474,3.963588237762451
1670987071.023701,41969,4.249855041503906
1670987074.455913,42013,3.9414172172546387
1670987083.981898,42132,4.869313716888428
1670987112.24772,42462,4.815570831298828
1670987118.766576,42536,4.072538375854492
1670987145.693139,42856,3.6825358867645264
1670987169.062133,43139,4.153844356536865
1670987183.71587,43297,4.829202651977539
1670987263.92958,44256,4.290256023406982
1670987265.827906,44284,4.3183794021606445
1670987271.324555,44350,3.922027111053467
1670987281.00832,44464,4.574564456939697
1670987285.93714,44523,4.209620475769043
1670987301.13629,44712,4.608780384063721
1670987302.004769,44725,4.505309104919434
1670987302.429693,44731,4.0871806144714355
1670987304.973546,44762,4.166298866271973
1670987322.221342,44977,4.192619323730469
1670987561.418116,46493,4.0462493896484375
1670987593.435027,46891,4.382680892944336
1670987609.65656,47064,4.29551362991333
1670987609.945559,47068,5.170291423797607
1670987611.108882,47084,4.253995895385742
1670987613.709703,47113,3.954094409942627
1670987619.429531,47179,3.579927444458008
1670987630.464086,47305,4.080354690551758
1670987657.637626,47626,4.514190673828125
1670987682.874862,48000,4.075573444366455
1670987694.96912,48190,4.934945583343506
1670987698.329357,48248,4.636310577392578
1670987707.205478,48386,5.487936973571777
1670987827.131163,48636,3.879927158355713
1670987855.687989,49094,4.4178972244262695
1670987862.416279,49202,4.194831371307373
1670987869.873142,49315,5.4401068687438965
1670987880.244234,49484,4.652777671813965
1670987900.315223,49753,3.976069450378418
1670987933.301881,50262,4.479436874389648
1670987961.158547,50640,4.379343509674072
1670987965.025624,50698,3.712263584136963
1670988040.705968,51798,4.9543137550354
1670988153.401455,51937,4.32420539855957
1670988156.159862,51972,4.37111759185791
1670988158.892527,52014,4.823770046234131
1670988173.374948,52230,5.479471206665039
1670988175.557905,52264,4.1808762550354
1670988181.743425,52353,4.9746479988098145
1670988182.841431,52365,3.7231063842773438
1670988186.101593,52400,4.407371520996094
1670988222.962175,52968,3.998217821121216
1670988230.469576,53083,3.779909372329712
1670988291.856047,53983,5.546217441558838
1670988303.769938,54148,4.022857189178467
1670988325.486806,54459,4.301323413848877
1670988334.84533,54593,4.903770923614502
1670988345.857471,54767,4.514556884765625
1670988481.200787,55121,4.808466911315918
1670988483.573712,55149,4.476194858551025
1670988497.376847,55368,6.469255447387695
1670988505.857658,55500,5.525710582733154
